threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.527,0.8481813389562467,0.8183338400729705,0.761601584606678,0.7889491426058919,0.9276296056542503,10707,1195,1685,5383
0.528,0.8481286241433843,0.8185968650129356,0.7610356536502547,0.7887675049490431,0.9276296056542503,10710,1192,1689,5379
0.529,0.847706905640485,0.8183757428005485,0.7599037917374081,0.7880566356100066,0.9276296056542503,10710,1192,1697,5371
0.53,0.8478123352662098,0.819111586017402,0.7591963780418789,0.7880167413172773,0.9276296056542503,10717,1185,1702,5366
0.531,0.8474433315761729,0.8192107678189049,0.7577815506508206,0.7872997207114508,0.9276296056542503,10720,1182,1712,5356
0.532,0.8474960463890353,0.8195316087555488,0.7574985851726089,0.7872950518344239,0.9276296056542503,10723,1179,1714,5354
0.533,0.8474960463890353,0.8202178248197576,0.7565082059988681,0.7870758813571797,0.9276296056542503,10730,1172,1721,5347
0.534,0.847706905640485,0.8212144504227518,0.755800792303339,0.7871509614676195,0.9276296056542503,10739,1163,1726,5342
0.535,0.8478123352662098,0.8216648715186952,0.7555178268251274,0.7872042455959313,0.9276296056542503,10743,1159,1728,5340
0.536,0.847706905640485,0.8219072562008936,0.7548104131295982,0.7869311896157534,0.9276296056542503,10746,1156,1733,5335
0.537,0.8476541908276226,0.8221776681061074,0.7542444821731749,0.7867473435655253,0.9276296056542503,10749,1153,1737,5331
0.538,0.8476541908276226,0.8225756639901174,0.7536785512167515,0.7866213821618429,0.9276296056542503,10753,1149,1741,5327
0.539,0.8476014760147601,0.823047177107502,0.7528296547821166,0.7863740486218872,0.9276296056542503,10758,1144,1747,5321
0.54,0.847970479704797,0.8239393000929081,0.7528296547821166,0.7867810143427473,0.9276296056542503,10765,1137,1747,5321
0.541,0.8479177648919346,0.8240123934934159,0.7525466893039049,0.7866597648450787,0.9276296056542503,10766,1136,1749,5319
0.542,0.8479177648919346,0.8245151280062064,0.7518392756083758,0.7865018870717088,0.9276296056542503,10771,1131,1754,5314
0.543,0.8478123352662098,0.8248640248640249,0.7509903791737408,0.7861956602236541,0.9276296056542503,10775,1127,1760,5308
0.544,0.8476014760147601,0.8249572117628754,0.7501414827391059,0.7857725083364209,0.9276296056542503,10777,1125,1766,5302
0.545,0.8478650500790722,0.8258024306637581,0.7498585172608941,0.7860002966038855,0.9276296056542503,10784,1118,1768,5300
